model,tree,sdratio,modelType,rateParam,rateEstimate
chen-sd20-cid2-equal,chen,0.2,cid2,q0A0B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q0A0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0A0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1A1B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q1A1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1A1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0B1B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q1B0B,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q0B0A,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q0B0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0B0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1B1A,0.05715924891384804
chen-sd20-cid2-equal,chen,0.2,cid2,q1B1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1B1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C0A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C0B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0C0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C1A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C1B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1C1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D1D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D0D,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D0A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D0B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q0D0C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D1A,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D1B,NA
chen-sd20-cid2-equal,chen,0.2,cid2,q1D1C,NA
chen-sd20-cid2,chen,0.2,cid2,turnover0A,0.1012872571443298
chen-sd20-cid2,chen,0.2,cid2,turnover1A,0.1012872571443298
chen-sd20-cid2,chen,0.2,cid2,turnover0B,0.10113279483172204
chen-sd20-cid2,chen,0.2,cid2,turnover1B,0.10113279483172204
chen-sd20-cid2,chen,0.2,cid2,turnover0C,NA
chen-sd20-cid2,chen,0.2,cid2,turnover1C,NA
chen-sd20-cid2,chen,0.2,cid2,turnover0D,NA
chen-sd20-cid2,chen,0.2,cid2,turnover1D,NA
chen-sd20-cid2,chen,0.2,cid2,eps0A,4.20673641734501e-9
chen-sd20-cid2,chen,0.2,cid2,q0A1A,0.05583943068333149
chen-sd20-cid2,chen,0.2,cid2,q1A0A,0.04530744917263043
chen-sd20-cid2,chen,0.2,cid2,q0A0B,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q0A0C,NA
chen-sd20-cid2,chen,0.2,cid2,q0A0D,NA
chen-sd20-cid2,chen,0.2,cid2,q1A1B,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q1A1C,NA
chen-sd20-cid2,chen,0.2,cid2,q1A1D,NA
chen-sd20-cid2,chen,0.2,cid2,q0B1B,0.05583943068333149
chen-sd20-cid2,chen,0.2,cid2,q1B0B,0.04530744917263043
chen-sd20-cid2,chen,0.2,cid2,q0B0A,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q0B0C,NA
chen-sd20-cid2,chen,0.2,cid2,q0B0D,NA
chen-sd20-cid2,chen,0.2,cid2,q1B1A,99.9316002991065
chen-sd20-cid2,chen,0.2,cid2,q1B1C,NA
chen-sd20-cid2,chen,0.2,cid2,q1B1D,NA
chen-sd20-cid2,chen,0.2,cid2,q0C1C,NA
chen-sd20-cid2,chen,0.2,cid2,q1C0C,NA
chen-sd20-cid2,chen,0.2,cid2,q0C0A,NA
chen-sd20-cid2,chen,0.2,cid2,q0C0B,NA
chen-sd20-cid2,chen,0.2,cid2,q0C0D,NA
chen-sd20-cid2,chen,0.2,cid2,q1C1A,NA
chen-sd20-cid2,chen,0.2,cid2,q1C1B,NA
chen-sd20-cid2,chen,0.2,cid2,q1C1D,NA
chen-sd20-cid2,chen,0.2,cid2,q0D1D,NA
chen-sd20-cid2,chen,0.2,cid2,q1D0D,NA
chen-sd20-cid2,chen,0.2,cid2,q0D0A,NA
chen-sd20-cid2,chen,0.2,cid2,q0D0B,NA
chen-sd20-cid2,chen,0.2,cid2,q0D0C,NA
chen-sd20-cid2,chen,0.2,cid2,q1D1A,NA
chen-sd20-cid2,chen,0.2,cid2,q1D1B,NA
chen-sd20-cid2,chen,0.2,cid2,q1D1C,NA
chen-sd20-cid4-equal,chen,0.2,cid4,turnover0A,2.061153622438558e-9
chen-sd20-cid4-equal,chen,0.2,cid4,turnover1A,2.061153622438558e-9
chen-sd20-cid4-equal,chen,0.2,cid4,turnover0B,0.020420435910098043
chen-sd20-cid4-equal,chen,0.2,cid4,turnover1B,0.020420435910098043
