model,tree,sdratio,modelType,turnover0A,turnover1A,turnover0B,turnover1B,turnover0C,turnover1C,turnover0D,turnover1D,eps0A,q0A1A,q1A0A,q0A0B,q0A0C,q0A0D,q1A1B,q1A1C,q1A1D,q0B1B,q1B0B,q0B0A,q0B0C,q0B0D,q1B1A,q1B1C,q1B1D,q0C1C,q1C0C,q0C0A,q0C0B,q0C0D,q1C1A,q1C1B,q1C1D,q0D1D,q1D0D,q0D0A,q0D0B,q0D0C,q1D1A,q1D1B,q1D1C
bibi-sd20-cid4-equal,bibi,0.2,cid4,0.019488409720180087,0.019488409720180087,0.019490978351279244,0.019490978351279244,0.0194875725577135,0.0194875725577135,0.2454090679051835,0.2454090679051835,2.061153622438558e-9,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631,0.05454822946037631
bibi-sd10-cid4-equal,bibi,0.1,cid4,0.01927527985780449,0.01927527985780449,0.019282618870517913,0.019282618870517913,0.23794878406980527,0.23794878406980527,0.01927685721832544,0.01927685721832544,2.061153622438558e-9,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876,0.047842221852826876
chen-sd20-bisse-equal,chen,0.2,bisse,2.061153622438558e-9,0.14739874492174043,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,0.0839038410128988,0.0839038410128988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chen-sd20-bisse,chen,0.2,bisse,2.061153622438558e-9,0.14272721220043852,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,2.061153622438558e-9,0.06117123423293767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chen-sd10-bisse,chen,0.1,bisse,2.061153622438558e-9,0.13700345037909092,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,0.01751384371277434,0.053729982689925015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chen-sd20-bisse-equal,chen,0.2,bisse,2.061153622438558e-9,0.14739874492174043,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,0.0839038410128988,0.0839038410128988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
