model,AICc,AICcWeights,deltaAICc,modelType,transRates
chen-sd10-bisse-equal,377.90253998193,0.573953471095735,0,bisse,equal
chen-sd10-bisse,379.158074378156,0.306366204793641,1.2555343962260395,bisse,vary
chen-sd10-cid2-equal,386.060531134289,0.00971385052330737,8.157991152359045,cid2,equal
chen-sd10-cid2,389.805462954747,0.00149344696248929,11.90292297281701,cid2,vary
chen-sd10-cid4-equal,388.679422904054,0.00262244442948631,10.776882922124003,cid4,equal
chen-sd10-cid4,394.532845113588,1.40492069926754e-4,16.63030513165802,cid4,vary
chen-sd10-hisse-equal,381.310610552187,0.104429588192088,3.408070570256996,hisse,equal
chen-sd10-hisse,392.594705045309,3.70265782749983e-4,14.692165063379036,hisse,vary
chen-sd10-null-equal,391.494571495175,6.4180714064839e-4,13.592031513245047,null,equal
chen-sd10-null,393.23797423648,2.68429009926948e-4,15.335434254550023,null,vary
