species,bibiOriginal,mkg,fkg,sdratio,sd20,sd15,sd10
Gazella_subgutturosa,Gazella_subgutturosa_marica,27.3,23,0.17097415506958255,monomorphic,dimorphic,dimorphic
Giraffa_camelopardalis,Giraffa_camelopardalis_angolensis_NC012100,1190.2,814.3,0.37505612372162644,dimorphic,dimorphic,dimorphic
Hemitragus_jemlahicus,Hemitragus_jemlahicus_FJ207531,103.3,56,0.593848085373509,dimorphic,dimorphic,dimorphic
Hippotragus_equinus,Hippotragus_equinus,274.4,256.4,0.06782215523737754,monomorphic,monomorphic,monomorphic
Hippotragus_niger,Hippotragus_niger,235.2,216.6,0.08233731739707834,monomorphic,monomorphic,monomorphic
Hydropotes_inermis,Hydropotes_inermis,12.2,13.3,-0.08627450980392168,monomorphic,monomorphic,monomorphic
Hyemoschus_aquaticus,Hyemoschus_aquaticus,9.8,12,-0.20183486238532103,monomorphic,monomorphic,monomorphic
Kobus_ellipsiprymnus,Kobus_ellipsiprymnus,236.8,187.3,0.23343551049280828,dimorphic,dimorphic,dimorphic
Kobus_leche,Kobus_leche,104.3,78.7,0.27978142076502727,dimorphic,dimorphic,dimorphic
Litocranius_walleri,Litocranius_walleri,35,34.3,0.020202020202020284,monomorphic,monomorphic,monomorphic
Madoqua_kirkii,Madoqua_kirkii,4.6,5.1,-0.10309278350515465,monomorphic,monomorphic,monomorphic
Madoqua_saltiana,Madoqua_saltiana,2.3,2.6,-0.12244897959183683,monomorphic,monomorphic,monomorphic
Moschus_berezovskii,Moschus_berezovskii_NC012694,13,13,0,monomorphic,monomorphic,monomorphic
Moschus_moschiferus,Moschus_moschiferus,13,14.7,-0.12274368231046927,monomorphic,monomorphic,monomorphic
Muntiacus_muntjak,Muntiacus_muntjak_NC004563,20.9,15.1,0.3222222222222222,dimorphic,dimorphic,dimorphic
Naemorhedus_baileyi,Naemorhedus_baileyi,25.6,29.05,-0.12625800548947846,monomorphic,monomorphic,monomorphic
Naemorhedus_evansi,Naemorhedus_griseus_evansi,25,25,0,monomorphic,monomorphic,monomorphic
Naemorhedus_goral,Naemorhedus_griseus_griseus_FJ207532,32,29.9,0.06785137318255255,monomorphic,monomorphic,monomorphic
Nanger_dama,Nanger_dama,68,51,0.2857142857142857,dimorphic,dimorphic,dimorphic
Nanger_granti,Nanger_granti,72.1,46,0.4419983065198983,dimorphic,dimorphic,dimorphic
Nanger_soemmerringii,Nanger_soemmerringii,45.4,33.6,0.2987341772151898,dimorphic,dimorphic,dimorphic
Neotragus_batesi,Neotragus_batesi,2.4,2.8,-0.15384615384615383,monomorphic,monomorphic,monomorphic
Nesotragus,Nesotragus_moschatus,4.8,5.1,-0.06060606060606058,monomorphic,monomorphic,monomorphic
Odocoileus_hemionus,Odocoileus_hemionus,70.3,46.9,0.3993174061433447,dimorphic,dimorphic,dimorphic
Okapia_johnstoni,Okapia_johnstoni,200,200,0,monomorphic,monomorphic,monomorphic
Oreamnos_americanus,Oreamnos_americanus_FJ207535,95.9,61,0.44486934353091145,dimorphic,dimorphic,dimorphic
Oreotragus_oreotragus,Oreotragus_oreotragus,11.3,13,-0.13991769547325097,monomorphic,monomorphic,monomorphic
Oryx_beisa,Oryx_beisa,178,166.4,0.0673635307781649,monomorphic,monomorphic,monomorphic
Oryx_dammah,Oryx_dammah,200,177.5,0.11920529801324503,monomorphic,monomorphic,dimorphic
Oryx_gazella,Oryx_gazella,210,202.5,0.03636363636363636,monomorphic,monomorphic,monomorphic
Oryx_leucoryx,Oryx_leucoryx,85.9,80.1,0.06987951807228929,monomorphic,monomorphic,monomorphic
