model,AICc,AICcWeights,deltaAICc,modelType,transRates
bibi-sd10-bisse-equal,781.276989715423,1.01510273286336e-5,22.62424267623703,bisse,equal
bibi-sd10-bisse,782.352709772469,5.9281659773904e-6,23.699962733282973,bisse,vary
bibi-sd10-cid2-equal,764.931672871548,0.0359625477973255,6.278925832362006,cid2,equal
bibi-sd10-cid2,786.88986052706,6.13324885484345e-7,28.237113487874012,cid2,vary
bibi-sd10-cid4-equal,758.652747039186,0.830427787089192,0,cid4,equal
bibi-sd10-cid4,762.409977047212,0.126890685299766,3.7572300080259993,cid4,vary
bibi-sd10-hisse-equal,768.587818028757,0.00578001038479654,9.935070989571045,hisse,equal
bibi-sd10-hisse,772.296182188965,9.05039580623194e-4,13.643435149778952,hisse,vary
bibi-sd10-null-equal,781.003142246445,1.16405960670154e-5,22.350395207258998,null,equal
bibi-sd10-null,782.467773105348,5.59673403765077e-6,23.815026066161977,null,vary
